# Template No.           2: sn1994I (Ic-norm; +0) ; z= 0.039 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   4875.44727      0.711838305    
   4882.05176      0.688512266    
   4888.66553      0.669954658    
   4895.28809      0.656316578    
   4901.91992      0.647199690    
   4908.56055      0.641732216    
   4915.21094      0.638739824    
   4921.86914      0.636979997    
   4928.53711      0.635391474    
   4935.21387      0.633303821    
   4941.89990      0.630561113    
   4948.59424      0.627529979    
   4955.29883      0.624991596    
   4962.01172      0.623946011    
   4968.73340      0.625372946    
   4975.46533      0.630009711    
   4982.20557      0.638195276    
   4988.95459      0.649813116    
   4995.71338      0.664340913    
   5002.48145      0.680982053    
   5009.25830      0.698839903    
   5016.04443      0.717082083    
   5022.83984      0.735051513    
   5029.64453      0.752299249    
   5036.45801      0.768539250    
   5043.28076      0.783550560    
   5050.11279      0.797067463    
   5056.95459      0.808703780    
   5063.80566      0.817943573    
   5070.66553      0.824210405    
   5077.53467      0.826999903    
   5084.41357      0.826040506    
   5091.30127      0.821430802    
   5098.19824      0.813710690    
   5105.10498      0.803834081    
   5112.02100      0.793043077    
   5118.94629      0.782667041    
   5125.88135      0.773893476    
   5132.82568      0.767568469    
   5139.77930      0.764073312    
   5146.74219      0.763307869    
   5153.71436      0.764781952    
   5160.69678      0.767785132    
   5167.68750      0.771589518    
   5174.68799      0.775629640    
   5181.69824      0.779614866    
   5188.71826      0.783549190    
   5195.74756      0.787662923    
   5202.78613      0.792280674    
   5209.83496      0.797675252    
   5216.89307      0.803952873    
   5223.95996      0.811003208    
   5231.03711      0.818528652    
   5238.12402      0.826142967    
   5245.21924      0.833508492    
   5252.32568      0.840466976    
   5259.44141      0.847127259    
   5266.56592      0.853880167    
   5273.70117      0.861339033    
   5280.84570      0.870219290    
   5287.99951      0.881194592    
   5295.16357      0.894766152    
   5302.33643      0.911180317    
   5309.51953      0.930411696    
   5316.71240      0.952210963    
   5323.91553      0.976197541    
   5331.12793       1.00196505    
   5338.34961       1.02916682    
   5345.58154       1.05755842    
   5352.82373       1.08698761    
   5360.07520       1.11733997    
   5367.33691       1.14846063    
   5374.60791       1.18008316    
   5381.88867       1.21178699    
   5389.17969       1.24300098    
   5396.48047       1.27305293    
   5403.79102       1.30125022    
   5411.11182       1.32697463    
   5418.44238       1.34976137    
   5425.78320       1.36935043    
   5433.13330       1.38569784    
   5440.49365       1.39895105    
   5447.86426       1.40940285    
   5455.24463       1.41743839    
   5462.63428       1.42348886    
   5470.03467       1.42800486    
   5477.44531       1.43144453    
   5484.86621       1.43427122    
   5492.29639       1.43695128    
   5499.73682       1.43994057    
   5507.18750       1.44365644    
   5514.64795       1.44843841    
   5522.11865       1.45450711    
   5529.59961       1.46193349    
   5537.09082       1.47063053    
   5544.59180       1.48036969    
   5552.10400       1.49082637    
   5559.62500       1.50163245    
   5567.15674       1.51243258    
   5574.69873       1.52292120    
   5582.25098       1.53285158    
   5589.81348       1.54201984    
   5597.38623       1.55022717    
   5604.96924       1.55723560    
   5612.56250       1.56274068    
   5620.16553       1.56636906    
   5627.77930       1.56771302    
   5635.40332       1.56639671    
   5643.03760       1.56215942    
   5650.68262       1.55493581    
   5658.33740       1.54491305    
   5666.00293       1.53254330    
   5673.67871       1.51850820    
   5681.36475       1.50363445    
   5689.06201       1.48878169    
   5696.76904       1.47471738    
   5704.48633       1.46201074    
   5712.21436       1.45096028    
   5719.95215       1.44157255    
   5727.70117       1.43358803    
   5735.46094       1.42654979    
   5743.23145       1.41989613    
   5751.01172       1.41305494    
   5758.80225       1.40552461    
   5766.60400       1.39692521    
   5774.41650       1.38701463    
   5782.23926       1.37567663    
   5790.07275       1.36288333    
   5797.91650       1.34864235    
   5805.77100       1.33295631    
   5813.63623       1.31580079    
   5821.51172       1.29713202    
   5829.39844       1.27692020    
   5837.29541       1.25520909    
   5845.20410       1.23218608    
   5853.12158       1.20825112    
   5861.05078       1.18406332    
   5868.99170       1.16055238    
   5876.94189       1.13888144    
   5884.90381       1.12035906    
   5892.87646       1.10630357    
   5900.85938       1.09787512    
   5908.85352       1.09590256    
   5916.85791       1.10073078    
   5924.87402       1.11212027    
   5932.90039       1.12922549    
   5940.93848       1.15066123    
   5948.98633       1.17465973    
   5957.04541       1.19929373    
   5965.11621       1.22273445    
   5973.19678       1.24349689    
   5981.28857       1.26062894    
   5989.39209       1.27380550    
   5997.50586       1.28330874    
   6005.63037       1.28989673    
   6013.76611       1.29458821    
   6021.91309       1.29840744    
   6030.07129       1.30214715    
   6038.24072       1.30619597    
   6046.42090       1.31047428    
   6054.61182       1.31448448    
   6062.81396       1.31746745    
   6071.02783       1.31861913    
   6079.25195       1.31731892    
   6087.48779       1.31330979    
   6095.73486       1.30678594    
   6103.99316       1.29836881    
   6112.26172       1.28897870    
   6120.54248       1.27963543    
   6128.83398       1.27124166    
   6137.13672       1.26440537    
   6145.45068       1.25934458    
   6153.77637       1.25589883    
   6162.11230       1.25363779    
   6170.46094       1.25203538    
   6178.81982       1.25065577    
   6187.19043       1.24929667    
   6195.57227       1.24804807    
   6203.96582       1.24724758    
   6212.37061       1.24734187    
   6220.78662       1.24869466    
   6229.21387       1.25139320    
   6237.65234       1.25511336    
   6246.10254       1.25908029    
   6254.56445       1.26214588    
   6263.03809       1.26296556    
   6271.52246       1.26023710    
   6280.01855       1.25294018    
   6288.52637       1.24052608    
   6297.04590       1.22300887    
   6305.57617       1.20094788    
   6314.11865       1.17533076    
   6322.67236       1.14739501    
   6331.23779       1.11843956    
   6339.81543       1.08967221    
   6348.40332       1.06212807    
   6357.00439       1.03666401    
   6365.61572       1.01401377    
   6374.23975      0.994867384    
   6382.87500      0.979928792    
   6391.52148      0.969921768    
   6400.18066      0.965525389    
   6408.85059      0.967252016    
   6417.53320      0.975301147    
   6426.22705      0.989434600    
   6434.93311       1.00892663    
   6443.64990       1.03261578    
   6452.38037       1.05906427    
   6461.12061       1.08679092    
   6469.87402       1.11453378    
   6478.63867       1.14147198    
   6487.41553       1.16734838    
   6496.20459       1.19245672    
   6505.00439       1.21748710    
   6513.81738       1.24326599    
   6522.64160       1.27045071    
   6531.47852       1.29925883    
   6540.32568       1.32930362    
   6549.18652       1.35957897    
   6558.05908       1.38861287    
   6566.94336       1.41474438    
   6575.83984       1.43647170    
   6584.74805       1.45277798    
   6593.66846       1.46335959    
   6602.60107       1.46870053    
   6611.54590       1.46997333    
   6620.50293       1.46879065    
   6629.47119       1.46687245    
   6638.45264       1.46570265    
   6647.44629       1.46626425    
   6656.45117       1.46890593    
   6665.46875       1.47336984    
   6674.49902       1.47896016    
   6683.54102       1.48480475    
   6692.59521       1.49013281    
   6701.66211       1.49449968    
   6710.74072       1.49789882    
   6719.83154       1.50073731    
   6728.93506       1.50369036    
   6738.05078       1.50747454    
   6747.17920       1.51260924    
   6756.31982       1.51922798    
   6765.47217       1.52699053    
   6774.63770       1.53511846    
   6783.81592       1.54254162    
   6793.00586       1.54811811    
   6802.20898       1.55086839    
   6811.42334       1.55017006    
   6820.65137       1.54586637    
   6829.89160       1.53826845    
   6839.14453       1.52806091    
   6848.40869       1.51613700    
   6857.68652       1.50341046    
   6866.97705       1.49065137    
   6876.27979       1.47837448    
   6885.59570       1.46680403    
   6894.92285       1.45590949    
   6904.26416       1.44548929    
   6913.61768       1.43527830    
   6922.98291       1.42504346    
   6932.36182       1.41465044    
   6941.75342       1.40408647    
   6951.15723       1.39344049    
   6960.57471       1.38285577    
   6970.00391       1.37246752    
   6979.44629       1.36234283    
   6988.90088       1.35243690    
   6998.36914       1.34257221    
   7007.84961       1.33244526    
   7017.34375       1.32165778    
   7026.85010       1.30977547    
   7036.37012       1.29640186    
   7045.90283       1.28127122    
   7055.44775       1.26433635    
   7065.00635       1.24584782    
   7074.57666       1.22639632    
   7084.16064       1.20690525    
   7093.75781       1.18855679    
   7103.36768       1.17265201    
   7112.99072       1.16041815    
   7122.62695       1.15279484    
   7132.27588       1.15023923    
   7141.93848       1.15259719    
   7151.61426       1.15907681    
   7161.30225       1.16833687    
   7171.00439       1.17868900    
   7180.71875       1.18837094    
   7190.44678       1.19584060    
   7200.18750       1.20002544    
   7209.94141       1.20047319    
   7219.70898       1.19737637    
   7229.49023       1.19146943    
   7239.28369       1.18383086    
