                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3334.2493  3.34628e-18  7.12877e-17  3.53720e-18     885   116.900  3.63996e+15  0     
   3336.2715  3.77826e-18  6.69195e-17  3.44484e-18     886   116.900  3.67531e+15  0     
   3338.2942  5.22073e-18  6.73062e-17  3.45766e-18     887   116.901  3.71033e+15  0     
   3340.3176 -4.50628e-18  6.63535e-17  3.23954e-18     888   116.902  3.74588e+15  0     
   3342.3413  8.89804e-19  6.49612e-17  3.29497e-18     889   116.903  3.78221e+15  0     
   3344.3655  9.57483e-19  6.49063e-17  3.27448e-18     890   116.904  3.82038e+15  0     
   3346.3904  4.32489e-18  6.37579e-17  3.29268e-18     891   116.905  3.86251e+15  0     
   3348.4158  4.32053e-18  6.30724e-17  3.25594e-18     892   116.905  3.90854e+15  0     
   3350.4414  3.08793e-18  6.21417e-17  3.19179e-18     893   116.906  3.95665e+15  0     
   3352.4678  3.78165e-18  5.90225e-17  3.12316e-18     894   116.907  4.00489e+15  0     
   3354.4944 -1.29183e-18  6.01645e-17  3.02645e-18     895   116.908  4.05324e+15  0     
   3356.5217 -6.56936e-19  6.35357e-17  3.07816e-18     896   116.909  4.10162e+15  0     
   3358.5496 -1.30741e-18  6.06888e-17  2.99262e-18     897   116.910  4.14679e+15  0     
   3360.5776  8.49482e-18  5.71645e-17  3.08858e-18     898   116.911  4.18785e+15  0     
   3362.6064  1.39996e-18  5.74336e-17  2.94640e-18     899   116.912  4.22751e+15  0     
   3364.6357  2.28382e-18  6.58502e-17  3.09749e-18     900   116.913  4.26522e+15  0     
   3366.6653 -1.91584e-18  8.46246e-17  3.32593e-18     901   116.914  4.30209e+15  0     
   3368.6956  2.14419e-18  1.09026e-16  3.74004e-18     902   116.915  4.33855e+15  0     
   3370.7263  9.67020e-19  1.29716e-16  3.98980e-18     903   116.916  4.37505e+15  0     
   3372.7576  9.29059e-18  1.27870e-16  4.05526e-18     904   116.917  4.41260e+15  0     
   3374.7893 -8.16224e-20  1.18901e-16  3.79084e-18     905   116.918  4.45300e+15  0     
   3376.8213  3.29577e-18  1.07386e-16  3.65731e-18     906   116.919  4.49604e+15  0     
   3378.8540  7.30443e-18  1.00362e-16  3.59368e-18     907   116.920  4.54163e+15  0     
   3380.8872 -9.40084e-19  9.57680e-17  3.38565e-18     908   116.922  4.59025e+15  0     
   3382.9207 -3.35407e-18  9.02574e-17  3.24507e-18     909   116.923  4.63941e+15  0     
   3384.9548  2.67888e-18  8.59523e-17  3.25176e-18     910   116.924  4.68760e+15  0     
   3386.9893  7.47808e-18  8.12489e-17  3.23404e-18     911   116.925  4.73517e+15  0     
   3389.0244  1.83414e-18  7.58756e-17  3.04646e-18     912   116.926  4.77837e+15  0     
   3391.0598  6.78586e-18  7.05865e-17  3.02667e-18     913   116.927  4.81677e+15  0     
   3393.0959  1.35732e-18  6.99929e-17  2.91637e-18     914   116.929  4.85293e+15  0     
   3395.1323  3.09534e-18  6.99490e-17  2.93090e-18     915   116.930  4.88915e+15  0     
   3397.1694  7.20862e-19  6.74062e-17  2.83743e-18     916   116.931  4.92618e+15  0     
   3399.2068  5.01967e-18  6.46344e-17  2.84929e-18     917   116.932  4.96457e+15  0     
   3401.2446  4.55621e-18  6.10779e-17  2.77051e-18     918   116.934  5.00085e+15  0     
   3403.2832  3.14598e-18  6.11305e-17  2.73588e-18     919   116.935  5.03666e+15  0     
   3405.3220  1.75704e-18  5.46236e-17  2.58851e-18     920   116.936  5.07253e+15  0     
   3407.3613  9.91766e-19  5.54404e-17  2.57774e-18     921   116.938  5.10992e+15  0     
   3409.4009  2.15963e-18  5.50045e-17  2.57820e-18     922   116.939  5.14996e+15  0     
   3411.4414  3.87501e-18  5.55065e-17  2.60330e-18     923   116.940  5.19308e+15  0     
   3413.4819  3.30833e-19  5.53836e-17  2.52652e-18     924   116.942  5.23736e+15  0     
   3415.5232 -1.63891e-19  5.72005e-17  2.53619e-18     925   116.943  5.28248e+15  0     
   3417.5649  6.16834e-19  6.54568e-17  2.67453e-18     926   116.944  5.32631e+15  0     
   3419.6069  2.10596e-18  6.53748e-17  2.68499e-18     927   116.946  5.36733e+15  0     
   3421.6497  4.80129e-18  6.67816e-17  2.73786e-18     928   116.947  5.40791e+15  0     
   3423.6926  2.35709e-18  6.87425e-17  2.71845e-18     929   116.949  5.44782e+15  0     
   3425.7361  1.70756e-18  6.82984e-17  2.68952e-18     930   116.950  5.48821e+15  0     
   3427.7803  5.85615e-18  6.76142e-17  2.73098e-18     931   116.952  5.53035e+15  0     
   3429.8247  4.24394e-18  6.60123e-17  2.66818e-18     932   116.953  5.57636e+15  0     
   3431.8694  5.81486e-19  6.53104e-17  2.58628e-18     933   116.954  5.62404e+15  0     
